topic,verse_ref,verse_content
lying,1 Peter 3:10-11,"For, “Whoever would love life and see good days must keep their tongue from evil and their lips from deceitful speech. They must turn from evil and do good; they must seek peace and pursue it.”"
lying,Psalm 120:2,"Save me, Lord, from lying lips and from deceitful tongues."
lying,Psalm 15:2-3,"The one whose walk is blameless, who does what is righteous, who speaks the truth from their heart; whose tongue utters no slander, who does no wrong to a neighbor, and casts no slur on others."
lying,Mark 7:20-23,"He went on: “What comes out of a person is what defiles them. For it is from within, out of a person’s heart, that evil thoughts come—sexual immorality, theft, murder, adultery, greed, malice, deceit, lewdness, envy, slander, arrogance and folly. All these evils come from inside and defile a person.”"
lying,Psalm 34:13,Keep your tongue from evil and your lips from telling lies.
lying,Colossians 3:9-10,"Do not lie to each other, since you have taken off your old self with its practices and have put on the new self, which is being renewed in knowledge in the image of its Creator."
lying,1 John 1:6,"If we claim to have fellowship with him and yet walk in the darkness, we lie and do not live out the truth."
lying,Proverbs 10:18,Whoever conceals hatred with lying lips and spreads slander is a fool.
lying,Proverbs 10:9,"Whoever walks in integrity walks securely, but whoever takes crooked paths will be found out."
lying,Proverbs 16:28,"A perverse person stirs up conflict, and a gossip separates close friends."
lying,Proverbs 14:5,"An honest witness does not deceive, but a false witness pours out lies."
lying,Matthew 19:18b-19,"‘You shall not murder, you shall not commit adultery, you shall not steal, you shall not give false testimony, honor your father and mother,’ and ‘love your neighbor as yourself.’"
lying,John 8:44,"You belong to your father, the devil, and you want to carry out your father’s desires. He was a murderer from the beginning, not holding to the truth, for there is no truth in him. When he lies, he speaks his native language, for he is a liar and the father of lies."
lying,Proverbs 30:8,"Keep falsehood and lies far from me; give me neither poverty nor riches, but give me only my daily bread."
lying,Matthew 5:11,"Blessed are you when people insult you, persecute you and falsely say all kinds of evil against you because of me."
lying,Proverbs 8:13,"To fear the Lord is to hate evil; I hate pride and arrogance, evil behavior and perverse speech."
lying,Proverbs 15:4,"The soothing tongue is a tree of life, but a perverse tongue crushes the spirit."
lying,Acts 5:3-4,"Then Peter said, “Ananias, how is it that Satan has so filled your heart that you have lied to the Holy Spirit and have kept for yourself some of the money you received for the land? Didn’t it belong to you before it was sold? And after it was sold, wasn’t the money at your disposal? What made you think of doing such a thing? You have not lied just to human beings but to God.”"
lying,Proverbs 17:7,Eloquent lips are unsuited to a godless fool— how much worse lying lips to a ruler!
lying,Proverbs 11:13,"A gossip betrays a confidence, but a trustworthy person keeps a secret."
lying,Proverbs 4:24,Keep your mouth free of perversity; keep corrupt talk far from your lips.
lying,Proverbs 10:32,"The lips of the righteous know what finds favor, but the mouth of the wicked only what is perverse."
lying,Numbers 23:19,"God is not human, that he should lie, not a human being, that he should change his mind. Does he speak and then not act? Does he promise and not fulfill?"
marriage,Proverbs 18:22,He who finds a wife finds what is good and receives favor from the Lord.
marriage,Matthew 19:4-6,"“Haven’t you read,” he replied, “that at the beginning the Creator ‘made them male and female,’ and said, ‘For this reason a man will leave his father and mother and be united to his wife, and the two will become one flesh’? So they are no longer two, but one flesh. Therefore what God has joined together, let no one separate.”"
marriage,Colossians 3:18-19,"Wives, submit yourselves to your husbands, as is fitting in the Lord. Husbands, love your wives and do not be harsh with them."
marriage,Hebrews 13:4,"Marriage should be honored by all, and the marriage bed kept pure, for God will judge the adulterer and all the sexually immoral."
marriage,Proverbs 31:10,A wife of noble character who can find? She is worth far more than rubies.
marriage,Ephesians 5:25-26,"Husbands, love your wives, just as Christ loved the church and gave himself up for her to make her holy, cleansing her by the washing with water through the word."
marriage,Proverbs 16:9,"In their hearts humans plan their course, but the Lord establishes their steps."
marriage,1 Corinthians 7:2,"But since sexual immorality is occurring, each man should have sexual relations with his own wife, and each woman with her own husband."
marriage,Genesis 2:18,"The Lord God said, “It is not good for the man to be alone. I will make a helper suitable for him.”"
marriage,Deuteronomy 24:5,"If a man has recently married, he must not be sent to war or have any other duty laid on him. For one year he is to be free to stay at home and bring happiness to the wife he has married."
marriage,Genesis 2:22-24,"Then the Lord God made a woman from the rib he had taken out of the man, and he brought her to the man. The man said, “This is now bone of my bones and flesh of my flesh; she shall be called ‘woman,’ for she was taken out of man.” That is why a man leaves his father and mother and is united to his wife, and they become one flesh."
marriage,Ephesians 5:22-23,"Wives, submit yourselves to your own husbands as you do to the Lord. For the husband is the head of the wife as Christ is the head of the church, his body, of which he is the Savior."
marriage,Song of songs 4:7,"You are altogether beautiful, my darling; there is no flaw in you."
marriage,1 Corinthians 7:3-4,"The husband should fulfill his marital duty to his wife, and likewise the wife to her husband. The wife does not have authority over her own body but yields it to her husband. In the same way, the husband does not have authority over his own body but yields it to his wife."
marriage,1 Peter 3:7,"Husbands, in the same way be considerate as you live with your wives, and treat them with respect as the weaker partner and as heirs with you of the gracious gift of life, so that nothing will hinder your prayers."
marriage,Ephesians 5:31,"For this reason a man will leave his father and mother and be united to his wife, and the two will become one flesh."
marriage,Ephesians 5:28,"In this same way, husbands ought to love their wives as their own bodies. He who loves his wife loves himself."
marriage,1 Corinthians 7:5,"Do not deprive each other except perhaps by mutual consent and for a time, so that you may devote yourselves to prayer. Then come together again so that Satan will not tempt you because of your lack of self-control."
marriage,Ephesians 5:33,"However, each one of you also must love his wife as he loves himself, and the wife must respect her husband."
marriage,Matthew 5:27-28,"You have heard that it was said, ‘You shall not commit adultery.’ But I tell you that anyone who looks at a woman lustfully has already committed adultery with her in his heart."
marriage,Isaiah 61:10,"I delight greatly in the Lord; my soul rejoices in my God. For he has clothed me with garments of salvation and arrayed me in a robe of his righteousness, as a bridegroom adorns his head like a priest, and as a bride adorns herself with her jewels."
materialism,1 Timothy 6:7-8,"For we brought nothing into the world, and we can take nothing out of it. But if we have food and clothing, we will be content with that."
materialism,Ecclesiastes 5:10,Whoever loves money never has enough; whoever loves wealth is never satisfied with their income. This too is meaningless.
materialism,Matthew 6:19-20,"Do not store up for yourselves treasures on earth, where moths and vermin destroy, and where thieves break in and steal. But store up for yourselves treasures in heaven, where moths and vermin do not destroy, and where thieves do not break in and steal."
materialism,Mark 8:36,"What good is it for someone to gain the whole world, yet forfeit their soul?"
materialism,Luke 12:15,"Then he said to them, “Watch out! Be on your guard against all kinds of greed; life does not consist in an abundance of possessions.”"
materialism,Hebrews 13:5,"Keep your lives free from the love of money and be content with what you have, because God has said, “Never will I leave you; never will I forsake you.”"
materialism,2 Corinthians 4:18,"So we fix our eyes not on what is seen, but on what is unseen, since what is seen is temporary, but what is unseen is eternal."
materialism,1 Timothy 6:9,Those who want to get rich fall into temptation and a trap and into many foolish and harmful desires that plunge people into ruin and destruction.
materialism,Proverbs 15:16,Better a little with the fear of the Lord than great wealth with turmoil.
materialism,Ecclesiastes 5:15,"Everyone comes naked from their mother’s womb, and as everyone comes, so they depart. They take nothing from their toil that they can carry in their hands."
materialism,Matthew 6:21,"For where your treasure is, there your heart will be also."
materialism,Proverbs 16:16,"How much better to get wisdom than gold, to get insight rather than silver!"
materialism,Matthew 19:21,"Jesus answered, “If you want to be perfect, go, sell your possessions and give to the poor, and you will have treasure in heaven. Then come, follow me.”"
materialism,1 Timothy 2:9-10,"I also want the women to dress modestly, with decency and propriety, adorning themselves, not with elaborate hairstyles or gold or pearls or expensive clothes, but with good deeds, appropriate for women who profess to worship God."
materialism,1 Timothy 6:17,"Command those who are rich in this present world not to be arrogant nor to put their hope in wealth, which is so uncertain, but to put their hope in God, who richly provides us with everything for our enjoyment."
materialism,Colossians 3:5,"Put to death, therefore, whatever belongs to your earthly nature: sexual immorality, impurity, lust, evil desires and greed, which is idolatry."
materialism,Proverbs 30:8,"Keep falsehood and lies far from me; give me neither poverty nor riches, but give me only my daily bread."
materialism,Matthew 16:26,"What good will it be for someone to gain the whole world, yet forfeit their soul? Or what can anyone give in exchange for their soul?"
materialism,1 Timothy 6:6,But godliness with contentment is great gain.
materialism,Proverbs 22:1,A good name is more desirable than great riches; to be esteemed is better than silver or gold.
materialism,Proverbs 21:26,"All day long he craves for more, but the righteous give without sparing."
materialism,Proverbs 11:4,"Wealth is worthless in the day of wrath, but righteousness delivers from death."
materialism,Acts 4:32,"All the believers were one in heart and mind. No one claimed that any of their possessions was their own, but they shared everything they had."
materialism,Proverbs 23:5,"Cast but a glance at riches, and they are gone, for they will surely sprout wings and fly off to the sky like an eagle."
materialism,Proverbs 18:11,The wealth of the rich is their fortified city; they imagine it a wall too high to scale.
mediator,1 Timothy 2:5,"For there is one God and one mediator between God and mankind, the man Christ Jesus."
mediator,Hebrews 9:15,"For this reason Christ is the mediator of a new covenant, that those who are called may receive the promised eternal inheritance—now that he has died as a ransom to set them free from the sins committed under the first covenant."
mediator,John 14:6,"Jesus answered, “I am the way and the truth and the life. No one comes to the Father except through me.”"
mediator,Galatians 3:20,"A mediator, however, implies more than one party; but God is one."
mediator,Romans 8:27,"And he who searches our hearts knows the mind of the Spirit, because the Spirit intercedes for God’s people in accordance with the will of God."
mediator,Romans 8:38-39,"For I am convinced that neither death nor life, neither angels nor demons, neither the present nor the future, nor any powers, neither height nor depth, nor anything else in all creation, will be able to separate us from the love of God that is in Christ Jesus our Lord."
mediator,John 17:15,My prayer is not that you take them out of the world but that you protect them from the evil one.
mediator,Hebrews 8:6,"But in fact the ministry Jesus has received is as superior to theirs as the covenant of which he is mediator is superior to the old one, since the new covenant is established on better promises."
mediator,2 Corinthians 5:21,"God made him who had no sin to be sin for us, so that in him we might become the righteousness of God."
mercy,Hebrews 4:16,"Let us then approach God’s throne of grace with confidence, so that we may receive mercy and find grace to help us in our time of need."
mercy,Matthew 9:13,"But go and learn what this means: ‘I desire mercy, not sacrifice.’ For I have not come to call the righteous, but sinners."
mercy,Ephesians 2:4-5,"But because of his great love for us, God, who is rich in mercy, made us alive with Christ even when we were dead in transgressions—it is by grace you have been saved."
mercy,Psalm 51:1-2,"Have mercy on me, O God, according to your unfailing love; according to your great compassion blot out my transgressions. Wash away all my iniquity and cleanse me from my sin."
mercy,Micah 7:18,"Who is a God like you, who pardons sin and forgives the transgression of the remnant of his inheritance? You do not stay angry forever but delight to show mercy."
mercy,2 Chronicles 30:9b,For the Lord your God is gracious and compassionate. He will not turn his face from you if you return to him.
mercy,Isaiah 30:18,Yet the Lord longs to be gracious to you; therefore he will rise up to show you compassion. For the Lord is a God of justice. Blessed are all who wait for him!
mercy,Matthew 6:14,"For if you forgive other people when they sin against you, your heavenly Father will also forgive you."
mercy,Psalm 25:6-7,"Remember, Lord, your great mercy and love, for they are from of old. Do not remember the sins of my youth and my rebellious ways; according to your love remember me, for you, Lord, are good."
mercy,Romans 12:1,"Therefore, I urge you, brothers and sisters, in view of God’s mercy, to offer your bodies as a living sacrifice, holy and pleasing to God—this is your true and proper worship."
mercy,Psalm 40:11,"Do not withhold your mercy from me, Lord; may your love and faithfulness always protect me."
mercy,Romans 6:15,What then? Shall we sin because we are not under the law but under grace? By no means!
mercy,Psalm 90:17,"May the favor of the Lord our God rest on us; establish the work of our hands for us— yes, establish the work of our hands."
mercy,Psalm 23:6,"Surely your goodness and love will follow me all the days of my life, and I will dwell in the house of the Lord forever."
mercy,Psalm 112:5,"Good will come to those who are generous and lend freely, who conduct their affairs with justice."
mercy,John 3:16,"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life."
mercy,Nehemiah 9:31,"But in your great mercy you did not put an end to them or abandon them, for you are a gracious and merciful God."
mercy,Psalm 130:1-2,"Out of the depths I cry to you, Lord; Lord, hear my voice. Let your ears be attentive to my cry for mercy."
mercy,Proverbs 28:13,"Whoever conceals their sins does not prosper, but the one who confesses and renounces them finds mercy."
mercy,2 Corinthians 12:9,"But he said to me, “My grace is sufficient for you, for my power is made perfect in weakness.” Therefore I will boast all the more gladly about my weaknesses, so that Christ’s power may rest on me."
mercy,Romans 5:15,"But the gift is not like the trespass. For if the many died by the trespass of the one man, how much more did God’s grace and the gift that came by the grace of the one man, Jesus Christ, overflow to the many!"
mercy,Isaiah 55:7,"Let the wicked forsake their ways and the unrighteous their thoughts. Let them turn to the Lord, and he will have mercy on them, and to our God, for he will freely pardon."
mercy,Matthew 18:21-22,"Then Peter came to Jesus and asked, “Lord, how many times shall I forgive my brother or sister who sins against me? Up to seven times?” Jesus answered, “I tell you, not seven times, but seventy-seven times.”"
mercy,Titus 3:5,"He saved us, not because of righteous things we had done, but because of his mercy. He saved us through the washing of rebirth and renewal by the Holy Spirit."
mercy,2 Corinthians 13:14,"May the grace of the Lord Jesus Christ, and the love of God, and the fellowship of the Holy Spirit be with you all."
messiah,Matthew 16:15-16,"“But what about you?” he asked. “Who do you say I am?” Simon Peter answered, “You are the Messiah, the Son of the living God.”"
messiah,Isaiah 9:6,"For to us a child is born, to us a son is given, and the government will be on his shoulders. And he will be called Wonderful Counselor, Mighty God, Everlasting Father, Prince of Peace."
messiah,Luke 2:11,"Today in the town of David a Savior has been born to you; he is the Messiah, the Lord."
messiah,Matthew 24:44,"So you also must be ready, because the Son of Man will come at an hour when you do not expect him."
messiah,Acts 5:42,"Day after day, in the temple courts and from house to house, they never stopped teaching and proclaiming the good news that Jesus is the Messiah."
messiah,Acts 26:22-23,"But God has helped me to this very day; so I stand here and testify to small and great alike. I am saying nothing beyond what the prophets and Moses said would happen— that the Messiah would suffer and, as the first to rise from the dead, would bring the message of light to his own people and to the Gentiles."
messiah,Revelation 20:6,"Blessed and holy are those who share in the first resurrection. The second death has no power over them, but they will be priests of God and of Christ and will reign with him for a thousand years."
mind,Colossians 3:2,"Set your minds on things above, not on earthly things."
mind,Ephesians 5:15-16,"Be very careful, then, how you live—not as unwise but as wise, making the most of every opportunity, because the days are evil."
mind,Matthew 22:37,Jesus replied: ‘Love the Lord your God with all your heart and with all your soul and with all your mind.’
mind,Proverbs 19:8,The one who gets wisdom loves life; the one who cherishes understanding will soon prosper.
mind,Ecclesiastes 1:18,"For with much wisdom comes much sorrow; the more knowledge, the more grief."
mind,Proverbs 27:12,"The prudent see danger and take refuge, but the simple keep going and pay the penalty."
mind,Proverbs 27:17,"As iron sharpens iron, so one person sharpens another."
mind,James 3:13,"Who is wise and understanding among you? Let them show it by their good life, by deeds done in the humility that comes from wisdom."
mind,Proverbs 3:13,"Blessed are those who find wisdom, those who gain understanding."
mind,Matthew 7:24,Therefore everyone who hears these words of mine and puts them into practice is like a wise man who built his house on the rock.
mind,Romans 1:20,"For since the creation of the world God’s invisible qualities—his eternal power and divine nature—have been clearly seen, being understood from what has been made, so that people are without excuse."
mind,Romans 12:3,"For by the grace given me I say to every one of you: Do not think of yourself more highly than you ought, but rather think of yourself with sober judgment, in accordance with the faith God has distributed to each of you."
mind,Proverbs 17:28,"Even fools are thought wise if they keep silent, and discerning if they hold their tongues."
mind,1 Corinthians 2:2,For I resolved to know nothing while I was with you except Jesus Christ and him crucified.
mind,Proverbs 15:5,"A fool spurns a parent’s discipline, but whoever heeds correction shows prudence."
mind,Mark 12:33,"To love him with all your heart, with all your understanding and with all your strength, and to love your neighbor as yourself is more important than all burnt offerings and sacrifices."
miracles,Mark 10:27,"Jesus looked at them and said, “With man this is impossible, but not with God; all things are possible with God.”"
miracles,Mark 9:23,“‘If you can’?” said Jesus. “Everything is possible for one who believes.”
miracles,Luke 18:27,"Jesus replied, “What is impossible with man is possible with God.”"
miracles,Jeremiah 32:27,"I am the Lord, the God of all mankind. Is anything too hard for me?"
miracles,Luke 8:50,"Hearing this, Jesus said to Jairus, “Don’t be afraid; just believe, and she will be healed.”"
miracles,Luke 1:37,For no word from God will ever fail.
miracles,Psalm 139:13-14,"For you created my inmost being; you knit me together in my mother’s womb. I praise you because I am fearfully and wonderfully made; your works are wonderful, I know that full well."
miracles,Matthew 19:26,"Jesus looked at them and said, “With man this is impossible, but with God all things are possible.”"
miracles,Matthew 17:20,"He replied, “Because you have so little faith. Truly I tell you, if you have faith as small as a mustard seed, you can say to this mountain, ‘Move from here to there,’ and it will move. Nothing will be impossible for you.”"
miracles,Luke 9:16-17,"Taking the five loaves and the two fish and looking up to heaven, he gave thanks and broke them. Then he gave them to the disciples to distribute to the people. They all ate and were satisfied, and the disciples picked up twelve basketfuls of broken pieces that were left over."
miracles,Psalm 9:1,"I will give thanks to you, Lord, with all my heart; I will tell of all your wonderful deeds."
miracles,Luke 13:10-17,"On a Sabbath Jesus was teaching in one of the synagogues, and a woman was there who had been crippled by a spirit for eighteen years. She was bent over and could not straighten up at all. When Jesus saw her, he called her forward and said to her, “Woman, you are set free from your infirmity.” Then he put his hands on her, and immediately she straightened up and praised God. Indignant because Jesus had healed on the Sabbath, the synagogue leader said to the people, “There are six days for work. So come and be healed on those days, not on the Sabbath.” The Lord answered him, “You hypocrites! Doesn’t each of you on the Sabbath untie your ox or donkey from the stall and lead it out to give it water? Then should not this woman, a daughter of Abraham, whom Satan has kept bound for eighteen long years, be set free on the Sabbath day from what bound her?” When he said this, all his opponents were humiliated, but the people were delighted with all the wonderful things he was doing."
miracles,Matthew 21:21,"Jesus replied, “Truly I tell you, if you have faith and do not doubt, not only can you do what was done to the fig tree, but also you can say to this mountain, ‘Go, throw yourself into the sea,’ and it will be done.”"
miracles,Mark 6:49-50,"But when they saw him walking on the lake, they thought he was a ghost. They cried out, because they all saw him and were terrified. Immediately he spoke to them and said, “Take courage! It is I. Don’t be afraid.”"
miracles,Acts 22:7,"I fell to the ground and heard a voice say to me, ‘Saul! Saul! Why do you persecute me?’"
miracles,Acts 1:9,"After he said this, he was taken up before their very eyes, and a cloud hid him from their sight."
miracles,Acts 4:31,"After they prayed, the place where they were meeting was shaken. And they were all filled with the Holy Spirit and spoke the word of God boldly."
miracles,Isaiah 7:14,"Therefore the Lord himself will give you a sign: The virgin will conceive and give birth to a son, and will call him Immanuel."
miracles,John 20:8-9,"Finally the other disciple, who had reached the tomb first, also went inside. He saw and believed. (They still did not understand from Scripture that Jesus had to rise from the dead.)"
miracles,Matthew 1:22-23,"All this took place to fulfill what the Lord had said through the prophet: “The virgin will conceive and give birth to a son, and they will call him Immanuel” (which means “God with us”)."
miracles,1 Samuel 12:24,But be sure to fear the Lord and serve him faithfully with all your heart; consider what great things he has done for you.
miracles,Matthew 1:18,"This is how the birth of Jesus the Messiah came about: His mother Mary was pledged to be married to Joseph, but before they came together, she was found to be pregnant through the Holy Spirit."
money,Hebrews 13:5,"Keep your lives free from the love of money and be content with what you have, because God has said, “Never will I leave you; never will I forsake you.”"
money,Proverbs 13:11,"Dishonest money dwindles away, but whoever gathers money little by little makes it grow."
money,1 Timothy 6:9,Those who want to get rich fall into temptation and a trap and into many foolish and harmful desires that plunge people into ruin and destruction.
money,Proverbs 10:22,"The blessing of the Lord brings wealth, without painful toil for it."
money,Proverbs 23:4,Do not wear yourself out to get rich; do not trust your own cleverness.
money,Ecclesiastes 5:10,Whoever loves money never has enough; whoever loves wealth is never satisfied with their income. This too is meaningless.
money,Proverbs 3:9,"Honor the Lord with your wealth, with the firstfruits of all your crops."
money,Proverbs 15:16,Better a little with the fear of the Lord than great wealth with turmoil.
money,Luke 12:15,"Then he said to them, “Watch out! Be on your guard against all kinds of greed; life does not consist in an abundance of possessions.”"
money,Matthew 6:21,"For where your treasure is, there your heart will be also."
money,Romans 13:7,"Give to everyone what you owe them: If you owe taxes, pay taxes; if revenue, then revenue; if respect, then respect; if honor, then honor."
money,Proverbs 16:16,"How much better to get wisdom than gold, to get insight rather than silver!"
money,1 Chronicles 29:14,"But who am I, and who are my people, that we should be able to give as generously as this? Everything comes from you, and we have given you only what comes from your hand."
money,1 Timothy 6:17,"Command those who are rich in this present world not to be arrogant nor to put their hope in wealth, which is so uncertain, but to put their hope in God, who richly provides us with everything for our enjoyment."
money,Matthew 25:21,"His master replied, ‘Well done, good and faithful servant! You have been faithful with a few things; I will put you in charge of many things. Come and share your master’s happiness!’"
money,Proverbs 30:8,"Keep falsehood and lies far from me; give me neither poverty nor riches, but give me only my daily bread."
money,1 Timothy 6:10,"For the love of money is a root of all kinds of evil. Some people, eager for money, have wandered from the faith and pierced themselves with many griefs."
money,Proverbs 19:22,What a person desires is unfailing love; better to be poor than a liar.
money,Psalm 37:16-17,"Better the little that the righteous have than the wealth of many wicked; for the power of the wicked will be broken, but the Lord upholds the righteous."
money,Proverbs 22:1,A good name is more desirable than great riches; to be esteemed is better than silver or gold.
money,Proverbs 23:5,"Cast but a glance at riches, and they are gone, for they will surely sprout wings and fly off to the sky like an eagle."
money,Romans 13:6,"This is also why you pay taxes, for the authorities are God’s servants, who give their full time to governing."
money,Proverbs 11:4,"Wealth is worthless in the day of wrath, but righteousness delivers from death."
money,Proverbs 18:11,The wealth of the rich is their fortified city; they imagine it a wall too high to scale.
money,Proverbs 10:2,"Ill-gotten treasures have no lasting value, but righteousness delivers from death."
nearness,2 Chronicles 15:2b,"The Lord is with you when you are with him. If you seek him, he will be found by you, but if you forsake him, he will forsake you."
nearness,1 Chronicles 16:11,Look to the Lord and his strength; seek his face always.
nearness,Psalm 34:17-18,"The righteous cry out, and the Lord hears them; he delivers them from all their troubles. The Lord is close to the brokenhearted and saves those who are crushed in spirit."
nearness,Philippians 4:5,Let your gentleness be evident to all. The Lord is near.
nearness,2 Thessalonians 3:16,Now may the Lord of peace himself give you peace at all times and in every way. The Lord be with all of you.
nearness,Psalm 27:4,"One thing I ask from the Lord, this only do I seek: that I may dwell in the house of the Lord all the days of my life, to gaze on the beauty of the Lord and to seek him in his temple."
nearness,Psalm 16:11,"You make known to me the path of life; you will fill me with joy in your presence, with eternal pleasures at your right hand."
nearness,Ephesians 2:13,But now in Christ Jesus you who once were far away have been brought near by the blood of Christ.
nearness,1 John 4:13,This is how we know that we live in him and he in us: He has given us of his Spirit.
nearness,Psalm 105:4,Look to the Lord and his strength; seek his face always.
nearness,Isaiah 55:6,Seek the Lord while he may be found; call on him while he is near.
nearness,Psalm 23:6,"Surely your goodness and love will follow me all the days of my life, and I will dwell in the house of the Lord forever."
nearness,John 14:18,I will not leave you as orphans; I will come to you.
nearness,2 Corinthians 13:11,"Finally, brothers and sisters, rejoice! Strive for full restoration, encourage one another, be of one mind, live in peace. And the God of love and peace will be with you."
nearness,Psalm 84:10,Better is one day in your courts than a thousand elsewhere; I would rather be a doorkeeper in the house of my God than dwell in the tents of the wicked.
nearness,1 Kings 8:57,May the Lord our God be with us as he was with our ancestors; may he never leave us nor forsake us.
nearness,Nehemiah 9:31,"But in your great mercy you did not put an end to them or abandon them, for you are a gracious and merciful God."
nearness,John 1:18,"No one has ever seen God, but the one and only Son, who is himself God and is in closest relationship with the Father, has made him known."
nearness,Luke 10:9,"Heal the sick who are there and tell them, ‘The kingdom of God has come near to you.’"
nearness,Exodus 34:28,Moses was there with the Lord forty days and forty nights without eating bread or drinking water. And he wrote on the tablets the words of the covenant—the Ten Commandments.
nearness,John 6:56,"Whoever eats my flesh and drinks my blood remains in me, and I in them."
nearness,Psalm 42:2,"My soul thirsts for God, for the living God. When can I go and meet with God?"
nearness,Matthew 3:2,"Repent, for the kingdom of heaven has come near."
neighbor,Mark 12:31,The second is this: ‘Love your neighbor as yourself.’ There is no commandment greater than these.
neighbor,1 Peter 3:8,"Finally, all of you, be like-minded, be sympathetic, love one another, be compassionate and humble."
neighbor,1 Corinthians 10:24,"No one should seek their own good, but the good of others."
neighbor,1 Thessalonians 5:11,"Therefore encourage one another and build each other up, just as in fact you are doing."
neighbor,Galatians 6:2,"Carry each other’s burdens, and in this way you will fulfill the law of Christ."
neighbor,Galatians 5:14,For the entire law is fulfilled in keeping this one command: “Love your neighbor as yourself.”
neighbor,Hebrews 13:1-2,"Keep on loving one another as brothers and sisters. Do not forget to show hospitality to strangers, for by so doing some people have shown hospitality to angels without knowing it."
neighbor,Matthew 7:12,"So in everything, do to others what you would have them do to you, for this sums up the Law and the Prophets."
neighbor,Philippians 2:3,"Do nothing out of selfish ambition or vain conceit. Rather, in humility value others above yourselves."
neighbor,Romans 15:2,"Each of us should please our neighbors for their good, to build them up."
neighbor,Galatians 6:10,"Therefore, as we have opportunity, let us do good to all people, especially to those who belong to the family of believers."
neighbor,Romans 14:13,"Therefore let us stop passing judgment on one another. Instead, make up your mind not to put any stumbling block or obstacle in the way of a brother or sister."
neighbor,Colossians 3:13,Bear with each other and forgive one another if any of you has a grievance against someone. Forgive as the Lord forgave you.
neighbor,John 13:34,"A new command I give you: Love one another. As I have loved you, so you must love one another."
neighbor,Isaiah 1:17,Learn to do right; seek justice. Defend the oppressed. Take up the cause of the fatherless; plead the case of the widow.
neighbor,Romans 13:10,Love does no harm to a neighbor. Therefore love is the fulfillment of the law.
neighbor,Romans 2:1,"You, therefore, have no excuse, you who pass judgment on someone else, for at whatever point you judge another, you are condemning yourself, because you who pass judgment do the same things."
neighbor,1 Peter 4:8,"Above all, love each other deeply, because love covers over a multitude of sins."
neighbor,1 Thessalonians 3:12,"May the Lord make your love increase and overflow for each other and for everyone else, just as ours does for you."
neighbor,Romans 12:10,Be devoted to one another in love. Honor one another above yourselves.
neighbor,Romans 13:9,"The commandments, “You shall not commit adultery,” “You shall not murder,” “You shall not steal,” “You shall not covet,” and whatever other command there may be, are summed up in this one command: “Love your neighbor as yourself.”"
neighbor,Job 6:14,Anyone who withholds kindness from a friend forsakes the fear of the Almighty.
neighbor,1 John 3:11,For this is the message you heard from the beginning: We should love one another.
neighbor,James 1:27,Religion that God our Father accepts as pure and faultless is this: to look after orphans and widows in their distress and to keep oneself from being polluted by the world.
neighbor,Romans 14:5,One person considers one day more sacred than another; another considers every day alike. Each of them should be fully convinced in their own mind.
obedience,John 14:23,"Jesus replied, “Anyone who loves me will obey my teaching. My Father will love them, and we will come to them and make our home with them.”"
obedience,Deuteronomy 28:1,"If you fully obey the Lord your God and carefully follow all his commands I give you today, the Lord your God will set you high above all the nations on earth."
obedience,Proverbs 6:20,"My son, keep your father’s command and do not forsake your mother’s teaching."
obedience,Deuteronomy 5:33,"Walk in obedience to all that the Lord your God has commanded you, so that you may live and prosper and prolong your days in the land that you will possess."
obedience,James 1:22,"Do not merely listen to the word, and so deceive yourselves. Do what it says."
obedience,Proverbs 10:17,"Whoever heeds discipline shows the way to life, but whoever ignores correction leads others astray."
obedience,1 Corinthians 15:58,"Therefore, my dear brothers and sisters, stand firm. Let nothing move you. Always give yourselves fully to the work of the Lord, because you know that your labor in the Lord is not in vain."
obedience,John 15:16,"You did not choose me, but I chose you and appointed you so that you might go and bear fruit—fruit that will last—and so that whatever you ask in my name the Father will give you."
obedience,Romans 12:2,"Do not conform to the pattern of this world, but be transformed by the renewing of your mind. Then you will be able to test and approve what God’s will is—his good, pleasing and perfect will."
obedience,1 Kings 2:3,"Observe what the Lord your God requires: Walk in obedience to him, and keep his decrees and commands, his laws and regulations, as written in the Law of Moses. Do this so that you may prosper in all you do and wherever you go."
obedience,Romans 5:19,"For just as through the disobedience of the one man the many were made sinners, so also through the obedience of the one man the many will be made righteous."
obedience,1 John 3:21-22,"Dear friends, if our hearts do not condemn us, we have confidence before God and receive from him anything we ask, because we keep his commands and do what pleases him."
obedience,Luke 6:27-28,"But to you who are listening I say: Love your enemies, do good to those who hate you, bless those who curse you, pray for those who mistreat you."
obedience,James 4:7,"Submit yourselves, then, to God. Resist the devil, and he will flee from you."
obedience,Joshua 1:8,"Keep this Book of the Law always on your lips; meditate on it day and night, so that you may be careful to do everything written in it. Then you will be prosperous and successful."
obedience,Malachi 2:2,"“If you do not listen, and if you do not resolve to honor my name,” says the Lord Almighty, “I will send a curse on you, and I will curse your blessings. Yes, I have already cursed them, because you have not resolved to honor me.”"
obedience,Romans 13:1,"Let everyone be subject to the governing authorities, for there is no authority except that which God has established. The authorities that exist have been established by God."
obedience,Romans 12:11,"Never be lacking in zeal, but keep your spiritual fervor, serving the Lord."
obedience,Psalm 128:1,"Blessed are all who fear the Lord, who walk in obedience to him."
